name	CAZy	n
Aspfu1	AA 1	6
Aspfu1	AA 11	3
Aspfu1	AA 14	1
Aspfu1	AA 16	1
Aspfu1	AA 2	2
Aspfu1	AA 3	12
Aspfu1	AA 4	1
Aspfu1	AA 5	1
Aspfu1	AA 6	1
Aspfu1	AA 7	1
Aspfu1	AA 8	2
Aspfu1	AA 9	4
Aspfu1	AA 9 	3
Aspfu1	CBM 1	4
Aspfu1	CBM 1 	12
Aspfu1	CBM 1  	1
Aspfu1	CBM 13 	1
Aspfu1	CBM 14	1
Aspfu1	CBM 18 	10
Aspfu1	CBM 19	1
Aspfu1	CBM 20 	4
Aspfu1	CBM 21	1
Aspfu1	CBM 24	1
Aspfu1	CBM 24 	9
Aspfu1	CBM 32	1
Aspfu1	CBM 35 	3
Aspfu1	CBM 38 	1
Aspfu1	CBM 42 	1
Aspfu1	CBM 43 	4
Aspfu1	CBM 48	1
Aspfu1	CBM 48 	1
Aspfu1	CBM 50	5
Aspfu1	CBM 50 	10
Aspfu1	CBM 63 	1
Aspfu1	CBM 66	1
Aspfu1	CBM 66 	1
Aspfu1	CBM 87 	1
Aspfu1	CBM 91 	5
Aspfu1	CE 1	1
Aspfu1	CE 12	3
Aspfu1	CE 15	1
Aspfu1	CE 16	3
Aspfu1	CE 18	1
Aspfu1	CE 4	3
Aspfu1	CE 5	5
Aspfu1	CE 8	4
Aspfu1	CE 8 	2
Aspfu1	CE 9	2
Aspfu1	Expansins	6
Aspfu1	GH 1	5
Aspfu1	GH 10	4
Aspfu1	GH 105	3
Aspfu1	GH 11	3
Aspfu1	GH 114	1
Aspfu1	GH 115	1
Aspfu1	GH 12	4
Aspfu1	GH 125	1
Aspfu1	GH 127	1
Aspfu1	GH 128	2
Aspfu1	GH 13	16
Aspfu1	GH 131	2
Aspfu1	GH 132	2
Aspfu1	GH 133 	1
Aspfu1	GH 134	1
Aspfu1	GH 135	4
Aspfu1	GH 15	5
Aspfu1	GH 154	2
Aspfu1	GH 16	14
Aspfu1	GH 162	1
Aspfu1	GH 17	5
Aspfu1	GH 172	1
Aspfu1	GH 18	17
Aspfu1	GH 184	1
Aspfu1	GH 2	6
Aspfu1	GH 20	2
Aspfu1	GH 23	1
Aspfu1	GH 25	3
Aspfu1	GH 27	5
Aspfu1	GH 28	13
Aspfu1	GH 3	19
Aspfu1	GH 30	1
Aspfu1	GH 31	7
Aspfu1	GH 32	4
Aspfu1	GH 32 	1
Aspfu1	GH 33	1
Aspfu1	GH 35	5
Aspfu1	GH 36	3
Aspfu1	GH 37	1
Aspfu1	GH 38	1
Aspfu1	GH 39	1
Aspfu1	GH 43	18
Aspfu1	GH 45	1
Aspfu1	GH 47	6
Aspfu1	GH 5	14
Aspfu1	GH 51	2
Aspfu1	GH 53	1
Aspfu1	GH 54	1
Aspfu1	GH 55	7
Aspfu1	GH 6	1
Aspfu1	GH 62	2
Aspfu1	GH 63	1
Aspfu1	GH 65	1
Aspfu1	GH 67	1
Aspfu1	GH 7	4
