value1	FileName	value	Species	f. sp.	race	var	Strain	Other_Strain	Kingdom	Domain	Phylum	Subdivision	Class	Subclass	Order	Family	Genus	Database	Genome	JGI Acronims	Host	X1	typo	Host2	lifestyle	Publication
Claviceps_purpurea_20-1	Claviceps_purpurea_20-1_GeneCatalog_proteins_20210223.aa	Claviceps purpurea 20.1	Claviceps purpurea				20.1		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales	Clavicipitaceae	Claviceps	JGI	Clapu1	Clapu1	Cereals/grasses			Plant	Biotrophic	"Schardl, C. L., Young, C. A., Hesse, U., Amyotte, S. G., Andreeva, K., Calie, P. J., Fleetwood, D. J., Haws, D. C., Moore, N., Oeser, B., Panaccione, D. G., Schweri, K. K., Voisey, C. R., Farman, M. L., Jaromczyk, J. W., Roe, B. A., O'Sullivan, D. M., Scott, B., Tudzynski, P., An, Z., Ä¶ Zeng, Z. (2013). Plant-symbiotic fungi as chemical engineers: multi-genome analysis of the clavicipitaceae reveals dynamics of alkaloid loci.†PLoS genetics,†9(2), e1003323. https://doi.org/10.1371/journal.pgen.1003323"
Cryptococcus_neoformans_vargrubii_H99	Cryptococcus_neoformans_vargrubii_H99_Cryptococcus_neoformans_H99.proteins	Cryptococcus neoformans†var.†grubii H99	Cryptococcus neoformans			grubii	H99		Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellomycetidae	Tremellales	Cryptococcaceae	Cryptococcus	JGI	Cryne_H99_1	Cryne_H99_1	human			Mammal	Biotrophic	"Janbon, G., Ormerod, K. L., Paulet, D., Byrnes, E. J., 3rd, Yadav, V., Chatterjee, G., Mullapudi, N., Hon, C. C., Billmyre, R. B., Brunel, F., Bahn, Y. S., Chen, W., Chen, Y., Chow, E. W., Copp√©e, J. Y., Floyd-Averette, A., Gaillardin, C., Gerik, K. J., Goldberg, J., Gonzalez-Hilarion, S., Ä¶ Dietrich, F. S. (2014). Analysis of the genome and transcriptome of Cryptococcus neoformans var. grubii reveals complex RNA expression and microevolution leading to virulence attenuation.†PLoS genetics,†10(4), e1004261. https://doi.org/10.1371/journal.pgen.1004261"
Cryptococcus_neoformans_varneoformans_JEC21	Cryptococcus_neoformans_varneoformans_JEC21_GeneCatalog_proteins_20120305.aa	Cryptococcus neoformans†var.†neoformans JEC21	Cryptococcus neoformans			neoformans	JEC21		Fungi	Dikarya	Basidiomycota	Agaricomycotina	Tremellomycetes	Tremellomycetidae	Tremellales	Cryptococcaceae	Cryptococcus	JGI	Cryne_JEC21_1	Cryne_JEC21_1				Mammal	Biotrophic	"Loftus, B. J., Fung, E., Roncaglia, P., Rowley, D., Amedeo, P., Bruno, D., Vamathevan, J., Miranda, M., Anderson, I. J., Fraser, J. A., Allen, J. E., Bosdet, I. E., Brent, M. R., Chiu, R., Doering, T. L., Donlin, M. J., D'Souza, C. A., Fox, D. S., Grinberg, V., Fu, J., Ä¶ Hyman, R. W. (2005). The genome of the basidiomycetous yeast and human pathogen Cryptococcus neoformans.†Science (New York, N.Y.),†307(5713), 1321Äì1324. https://doi.org/10.1126/science.1103773"
Puccinia_coronate_fsp_avenae_12SD80	Puccinia_coronate_fsp_avenae_12SD80_GeneCatalog_proteins_20170808.aa	Puccinia coronata 12SD80	Puccinia coronata	avenae			12SD80		Fungi	Dikarya	Basidiomycota	Pucciniomycotina	Pucciniomycetes		Pucciniales	Pucciniaceae	Puccinia	JGI	PuccoSD80_1	PuccoSD80_1	Oat	"Macrocyclic,Heteroecious"		Plant	Biotrophic	"Miller, M. E., Zhang, Y., Omidvar, V., Sperschneider, J., Schwessinger, B., Raley, C., Palmer, J. M., Garnica, D., Upadhyayah, N., Rathjen, J., Taylor, J. M., Park, R. F., Dodds, P. N., Hirsch, C. D., Kianian, S. F. and Figueroa, M. 2017. De novo assembly and phasing of dikaryotic genomes from two isolates of†Puccinia coronata†f. sp.†avenae, the causal agent of oat crown rust. BioRxiv.†https://doi.org/10.1101/179226"
Puccinia_graminis_fs_ptritici_CDL75-36-700-3	Puccinia_graminis_fs_ptritici_CDL75-36-700-3_protein_longest	Puccinia graminis CDL 75-36-700-3	Puccinia graminis	tritici			CDL 75-36-700-3		Fungi	Dikarya	Basidiomycota	Pucciniomycotina	Pucciniomycetes		Pucciniales	Pucciniaceae	Puccinia	Refseq	GCF_000149925.1		"Wheat,barley"	"Macrocyclic,Heteroecious"		Plant	Biotrophic	"Duplessis, S.; Cuomo, C.A.; Lin, Y.-C.; Aerts, A.; Tisserant, E.; Veneault-Fourrey, C.; Joly, D.L.; Hacquard, S.; Amselem, J.; Cantarel, B.L.; et al. Obligate biotrophy features unraveled by the genomic analysis of rust fungi. Proc. Natl. Acad. Sci. USA 2011, 108, 9166."
Puccinia_striiformis_93TX-2	Puccinia_striiformis_93TX-2_protein_longest	Puccinia striiformis 93TX-2	Puccinia striiformis				93TX-2		Fungi	Dikarya	Basidiomycota	Pucciniomycotina	Pucciniomycetes		Pucciniales	Pucciniaceae	Puccinia	Genbank	GCA_002920205.1		Weat	"Macrocyclic,Heteroecious"		Plant	Biotrophic	"Xia, C., Wang, M., Yin, C., Cornejo, O. E., Hulbert, S. H., & Chen, X. (2018). Genomic insights into host adaptation between the wheat stripe rust pathogen (Puccinia striiformis f. sp. tritici) and the barley stripe rust pathogen (Puccinia striiformis f. sp. hordei).†BMC genomics,†19(1), 664. https://doi.org/10.1186/s12864-018-5041-y"
Ustilago_hordei_Uh4857-4	Ustilago_hordei_Uh4857-4_protein_longest	Ustilago hordei Uh4857-4	Ustilago hordei				Uh4857-4		Fungi	Dikarya	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes		Ustilaginales	Ustilaginaceae	Ustilago	Genbank	GCA_000286035.1		barley			Plant	Biotrophic	"Laurie, J. D., Ali, S., Linning, R., Mannhaupt, G., Wong, P., G√ºldener, U., M√ºnsterk√∂tter, M., Moore, R., Kahmann, R., Bakkeren, G., & Schirawski, J. (2012). Genome comparison of barley and maize smut fungi reveals targeted loss of RNA silencing components and species-specific presence of transposable elements. The Plant cell, 24(5), 1733Äì1745. https://doi.org/10.1105/tpc.112.097261"
Ustilago_maydis_521	Ustilago_maydis_521_GeneCatalog_proteins_20171205.aa	Ustilago maydis 521†	Ustilago maydis				521		Fungi	Dikarya	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes		Ustilaginales	Ustilaginaceae	Ustilago	JGI	Ustma2_2	Ustma2_2	maize			Plant	Biotrophic	"K√§mper, J., Kahmann, R., B√∂lker, M., Ma, L. J., Brefort, T., Saville, B. J., Banuett, F., Kronstad, J. W., Gold, S. E., M√ºller, O., Perlin, M. H., W√∂sten, H. A., de Vries, R., Ruiz-Herrera, J., Reynaga-Pe√±a, C. G., Snetselaar, K., McCann, M., P√©rez-Mart√≠n, J., Feldbr√ºgge, M., Basse, C. W., Ä¶ Birren, B. W. (2006). Insights from the genome of the biotrophic fungal plant pathogen Ustilago maydis.†Nature,†444(7115), 97Äì101. https://doi.org/10.1038/nature05248"
Ustilago_tritici_Ut_3	Ustilago_tritici_Ut_3_protein_longest	Ustilago tritici Ut_3	Ustilago tritici				Ut_3		Fungi	Dikarya	Basidiomycota	Ustilaginomycotina	Ustilaginomycetes		Ustilaginales	Ustilaginaceae	Ustilago	Genbank	GCA_022963115.1		barley/rye/wheat			Plant	Biotrophic	"Depotter, J. R. L., √ñkmen, B., Ebert, M. K., Beckers, J., Kruse, J., Thines, M., & Doehlemann, G. (2022). High Nucleotide Substitution Rates Associated with Retrotransposon Proliferation Drive Dynamic Secretome Evolution in Smut Pathogens.†Microbiology spectrum,†10(5), e0034922. https://doi.org/10.1128/spectrum.00349-22"
Colletotrichum_fioriniae_PJ7	Colletotrichum_fioriniae_PJ7_GeneCatalog_proteins_20160218.aa	Colletotrichum fioriniae PJ7	Colletotrichum fioriniae				PJ7		Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Glomerellales	Glomerellaceae	Colletotrichum	JGI	Colfi1	Colfi1	Fragaria x ananassa			Plant	Endophytic	"Baroncelli R, Sreenivasaprasad S, Sukno SA, Thon MR, Holub E. Draft Genome Sequence of Colletotrichum acutatum Sensu Lato (Colletotrichum fioriniae). Genome Announc. 2014 Apr 10;2(2):e00112-14. doi: 10.1128/genomeA.00112-14. PMID: 24723700; PMCID: PMC3983289."
